,kr_price,us_price,exchange_rate,import_vol,stock,import_vol_mom,import_vol_yoy,stock_mom,stock_yoy,stock_ma_3,margin_spread,us_price_lag_1,exchange_rate_lag_1,us_price_lag_2,exchange_rate_lag_2,us_price_lag_3,exchange_rate_lag_3,kr_price_lead_1,kr_price_lead_2,kr_price_lead_3,kr_price_lead_4,kr_price_lead_5,kr_price_lead_6,kr_price_max_6m,target_max_diff_6m
2024-10-01,4304.0,18.112483333333333,1366.8049999999998,11163.0,38354.0,0.5619140898278998,0.22441592629154328,0.0046099848080045636,-0.11275099472564076,39194.333333333336,-20452.232782416664,17.6532197740113,1333.7222222222222,16.964927040816328,1352.095238095238,17.081391707317074,1383.5869565217392,4391.0,4471.0,4371.0,4535.0,4568.0,4685.0,4685.0,381.0
2024-11-01,4391.0,19.28001256830601,1396.0619047619048,10781.0,38879.0,-0.03422019170473889,0.23239597622313668,0.01368827240965742,-0.07694681861348529,38470.333333333336,-22525.09106994275,18.112483333333333,1366.8049999999998,17.6532197740113,1333.7222222222222,16.964927040816328,1352.095238095238,4471.0,4371.0,4535.0,4568.0,4685.0,4612.0,4685.0,294.0
2024-12-01,4471.0,20.79008241758242,1441.7,9808.0,38594.0,-0.09025136814766721,0.11874073229154791,-0.007330435453586803,-0.12455483724622884,38609.0,-25502.061821428575,19.28001256830601,1396.0619047619048,18.112483333333333,1366.8049999999998,17.6532197740113,1333.7222222222222,4371.0,4535.0,4568.0,4685.0,4612.0,4530.0,4685.0,214.0
2025-01-01,4371.0,17.53333092783505,1456.3555555555556,8890.0,33290.0,-0.09359706362153342,-0.07086120401337792,-0.1374306887080894,-0.15031011511268788,36921.0,-21163.763904146617,20.79008241758242,1441.7,19.28001256830601,1396.0619047619048,18.112483333333333,1366.8049999999998,4535.0,4568.0,4685.0,4612.0,4530.0,4342.0,4685.0,314.0
2025-02-01,4535.0,16.564826315789475,1445.94,9497.0,35386.0,0.06827896512935894,0.32473148277305053,0.06296185040552715,-0.05950830564784049,35756.666666666664,-19416.744963052635,17.53333092783505,1456.3555555555556,20.79008241758242,1441.7,19.28001256830601,1396.0619047619048,4568.0,4685.0,4612.0,4530.0,4342.0,4315.0,4685.0,150.0
2025-03-01,4568.0,17.992240340909092,1458.635,9301.0,36895.0,-0.02063809624091817,-0.08382584712371943,0.042643983496297944,-0.08328571073620394,35190.333333333336,-21676.111489661933,16.564826315789475,1445.94,17.53333092783505,1456.3555555555556,20.79008241758242,1441.7,4685.0,4612.0,4530.0,4342.0,4315.0,4288.0,4685.0,117.0
2025-04-01,4685.0,20.113932631578948,1441.7136363636364,10729.0,7653.0,0.1535318782926567,0.07033120510774138,-0.7925735194470795,-0.8161971323582391,26644.666666666668,-24313.53095584689,17.992240340909092,1458.635,16.564826315789475,1445.94,17.53333092783505,1456.3555555555556,4612.0,4530.0,4342.0,4315.0,4288.0,4435.0,4612.0,-73.0
2025-05-01,4612.0,19.680009677419356,1390.5684210526315,13072.0,43040.0,0.21838009134122482,0.45260584509389923,4.623938324839932,0.00037188545927846484,29196.0,-22754.399983429543,20.113932631578948,1441.7136363636364,17.992240340909092,1458.635,16.564826315789475,1445.94,4530.0,4342.0,4315.0,4288.0,4435.0,4426.0,4530.0,-82.0
2025-06-01,4530.0,19.25877966101695,1366.284210526316,10323.0,44806.0,-0.21029681762545904,0.13526888815572424,0.04103159851301119,0.026295295249438855,31833.0,-21782.966564852813,19.680009677419356,1390.5684210526315,20.113932631578948,1441.7136363636364,17.992240340909092,1458.635,4342.0,4315.0,4288.0,4435.0,4426.0,4488.0,4488.0,-42.0
2025-07-01,4342.0,17.76277487179487,1379.3826086956522,12391.0,47238.0,0.20032936161968418,0.36060173492917547,0.054278444851135976,0.11030673404630398,45028.0,-20159.662740329986,19.25877966101695,1366.284210526316,19.680009677419356,1390.5684210526315,20.113932631578948,1441.7136363636364,4315.0,4288.0,4435.0,4426.0,4488.0,4428.0,4488.0,146.0
2025-08-01,4315.0,19.46970824175824,1389.955,9501.0,43469.0,-0.23323379872488093,-0.0987478656801366,-0.07978745924890973,0.0589023409904752,45171.0,-22747.018319173076,17.76277487179487,1379.3826086956522,19.25877966101695,1366.284210526316,19.680009677419356,1390.5684210526315,4288.0,4435.0,4426.0,4488.0,4428.0,4428.0,4488.0,173.0
